Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Amorcito,2022-04-16 02:16:49,00:49:29,,Queer Eye: Alemania: Temporada 1: Más es más (Capítulo 1),,Chrome PC (Cadmium),00:49:29,00:49:29,AR (Argentina)
Amorcito,2022-04-16 02:16:15,00:00:09,Autoplayed: user action: None; ,Temporada 1 (Clip): Queer Eye: Alemania,HOOK,Chrome PC (Cadmium),00:00:09,00:00:09,AR (Argentina)
Amorcito,2022-04-16 02:13:23,00:00:17,Autoplayed: user action: None; ,Temporada 1 (Clip): Queer Eye: Alemania,HOOK,Chrome PC (Cadmium),00:00:17,Not latest view,AR (Argentina)
Amorcito,2022-04-16 02:12:33,00:01:10,Autoplayed: user action: None; ,Miniserie (Tráiler): Anatomía de un escándalo,TRAILER,Chrome PC (Cadmium),00:01:10,00:01:10,AR (Argentina)
Amorcito,2022-04-14 04:31:06,00:02:00,,Tráiler: El poder del perro,TRAILER,Chrome PC (Cadmium),00:02:00,00:02:00,AR (Argentina)
Amorcito,2022-04-14 03:22:59,01:08:06,,Bridgerton: Temporada 2: El vizconde que me amó (Capítulo 8),,Chrome PC (Cadmium),01:08:27,01:08:27,AR (Argentina)
Amorcito,2022-04-14 02:24:44,00:55:03,,Bridgerton: Temporada 2: Armonía (Capítulo 7),,Chrome PC (Cadmium),00:55:23,00:55:23,AR (Argentina)
Amorcito,2022-04-14 01:33:22,00:44:10,,Bridgerton: Temporada 2: La decisión (Capítulo 6),,Chrome PC (Cadmium),01:05:12,01:05:12,AR (Argentina)
Amorcito,2022-04-13 03:27:44,00:20:42,Autoplayed: user action: None; ,Bridgerton: Temporada 2: La decisión (Capítulo 6),,Chrome PC (Cadmium),00:21:02,Not latest view,AR (Argentina)
Amorcito,2022-04-13 03:08:39,00:11:14,,Bridgerton: Temporada 2: Un destino inconcebible (Capítulo 5),,Chrome PC (Cadmium),00:55:08,00:55:08,AR (Argentina)
Amorcito,2022-04-12 01:55:31,00:00:01,,Bridgerton: Temporada 2: Un destino inconcebible (Capítulo 5),,Chrome PC (Cadmium),00:43:54,Not latest view,AR (Argentina)
Amorcito,2022-04-11 03:16:51,00:34:15,,Bridgerton: Temporada 2: Un destino inconcebible (Capítulo 5),,Chrome PC (Cadmium),00:43:53,Not latest view,AR (Argentina)
Amorcito,2022-04-10 04:26:19,00:09:18,,Bridgerton: Temporada 2: Un destino inconcebible (Capítulo 5),,Chrome PC (Cadmium),00:09:38,Not latest view,AR (Argentina)
Amorcito,2022-04-10 03:21:22,00:54:17,,Bridgerton: Temporada 2: Victoria (Capítulo 4),,Chrome PC (Cadmium),00:54:37,00:54:37,AR (Argentina)
Amorcito,2022-04-10 01:56:46,01:04:45,,Bridgerton: Temporada 2: Obsesiones (Capítulo 3),,Chrome PC (Cadmium),01:04:48,01:04:48,AR (Argentina)
Amorcito,2022-04-09 20:01:07,00:00:03,,Bridgerton: Temporada 2: Obsesiones (Capítulo 3),,Chrome PC (Cadmium),00:00:03,Not latest view,AR (Argentina)
Amorcito,2022-04-09 04:24:37,00:00:01,Autoplayed: user action: None; ,Bridgerton: Temporada 2: Obsesiones (Capítulo 3),,Chrome PC (Cadmium),00:00:21,Not latest view,AR (Argentina)
Amorcito,2022-04-09 03:34:56,00:49:40,,Bridgerton: Temporada 2: La carrera ya va a empezar (Capítulo 2),,Chrome PC (Cadmium),00:50:00,00:50:00,AR (Argentina)
Amorcito,2022-04-09 02:28:07,01:06:47,,"Bridgerton: Temporada 2: Libertino, con todas las letras (Capítulo 1)",,Chrome PC (Cadmium),01:06:47,01:06:47,AR (Argentina)
Amorcito,2022-04-09 02:22:14,00:03:09,,Temporada 1 (Resumen): Bridgerton,RECAP,Chrome PC (Cadmium),00:03:09,00:03:09,AR (Argentina)
Amorcito,2022-04-09 02:19:30,00:00:05,Autoplayed: user action: None; ,Temporada 5 (Clip): Élite,HOOK,Chrome PC (Cadmium),00:00:05,00:00:05,AR (Argentina)
Amorcito,2022-04-07 02:36:35,00:01:34,Autoplayed: user action: None; ,Temporada 2 (Tráiler): Organízate con el método The Home Edit,TRAILER,Chrome PC (Cadmium),00:00:00,00:00:00,AR (Argentina)
Amorcito,2022-04-05 02:03:35,00:00:02,,Peaky Blinders: Temporada 2: Episodio 1 (Capítulo 1),,Chrome PC (Cadmium),00:36:16,Not latest view,AR (Argentina)
Amorcito,2022-04-03 03:33:52,00:36:13,,Peaky Blinders: Temporada 2: Episodio 1 (Capítulo 1),,Chrome PC (Cadmium),00:36:14,Not latest view,AR (Argentina)
Amorcito,2022-04-03 02:29:48,00:53:38,,Peaky Blinders: Temporada 1: Episodio 6 (Capítulo 6),,Chrome PC (Cadmium),00:53:34,00:53:34,AR (Argentina)
Amorcito,2022-04-03 02:29:11,00:00:01,,Peaky Blinders: Temporada 1: Episodio 6 (Capítulo 6),,Chrome PC (Cadmium),00:08:27,Not latest view,AR (Argentina)
Amorcito,2022-03-31 03:18:38,00:00:35,Autoplayed: user action: None; ,Cliffhanger Clip 2: Granizo,HOOK,Chrome PC (Cadmium),00:00:00,00:00:00,AR (Argentina)
Amorcito,2022-03-31 03:18:24,00:00:07,Autoplayed: user action: None; ,Peaky Blinders: Season 5_hook_05_16x9,HOOK,Chrome PC (Cadmium),00:00:07,00:00:07,AR (Argentina)
Amorcito,2022-03-31 02:22:16,00:55:52,,Peaky Blinders: Temporada 1: Episodio 5 (Capítulo 5),,Chrome PC (Cadmium),00:55:53,00:55:53,AR (Argentina)
Amorcito,2022-03-31 01:51:23,00:29:08,,Peaky Blinders: Temporada 1: Episodio 4 (Capítulo 4),,Chrome PC (Cadmium),00:57:57,00:57:57,AR (Argentina)
Amorcito,2022-03-30 02:58:03,00:28:58,,Peaky Blinders: Temporada 1: Episodio 4 (Capítulo 4),,Chrome PC (Cadmium),00:28:59,Not latest view,AR (Argentina)
Amorcito,2022-03-30 02:19:57,00:20:49,,Peaky Blinders: Temporada 1: Episodio 3 (Capítulo 3),,Chrome PC (Cadmium),00:54:39,00:54:39,AR (Argentina)
Amorcito,2022-03-29 02:59:03,00:12:30,,Peaky Blinders: Temporada 1: Episodio 3 (Capítulo 3),,Chrome PC (Cadmium),00:33:50,Not latest view,AR (Argentina)
Amorcito,2022-03-29 02:52:30,00:05:16,,Peaky Blinders: Temporada 1: Episodio 6 (Capítulo 6),,Chrome PC (Cadmium),00:08:26,Not latest view,AR (Argentina)
Amorcito,2022-03-29 01:22:07,00:00:01,,Peaky Blinders: Temporada 1: Episodio 6 (Capítulo 6),,Chrome PC (Cadmium),00:03:09,Not latest view,AR (Argentina)
Amorcito,2022-03-27 17:36:59,00:03:07,,Peaky Blinders: Temporada 1: Episodio 6 (Capítulo 6),,Chrome PC (Cadmium),00:03:08,Not latest view,AR (Argentina)
Amorcito,2022-03-27 16:41:01,00:55:57,,Peaky Blinders: Temporada 1: Episodio 5 (Capítulo 5),,Chrome PC (Cadmium),00:55:58,Not latest view,AR (Argentina)
Amorcito,2022-03-27 15:43:05,00:57:55,,Peaky Blinders: Temporada 1: Episodio 4 (Capítulo 4),,Chrome PC (Cadmium),00:57:56,Not latest view,AR (Argentina)
Amorcito,2022-03-27 15:18:11,00:24:52,,Peaky Blinders: Temporada 1: Episodio 3 (Capítulo 3),,Chrome PC (Cadmium),00:54:39,Not latest view,AR (Argentina)
Amorcito,2022-03-27 03:30:16,00:29:46,,Peaky Blinders: Temporada 1: Episodio 3 (Capítulo 3),,Chrome PC (Cadmium),00:29:47,Not latest view,AR (Argentina)
Amorcito,2022-03-27 02:51:44,00:38:03,,Peaky Blinders: Temporada 1: Episodio 2 (Capítulo 2),,Chrome PC (Cadmium),00:57:31,00:57:31,AR (Argentina)
Amorcito,2022-03-27 02:15:09,00:00:01,,Peaky Blinders: Temporada 1: Episodio 2 (Capítulo 2),,Chrome PC (Cadmium),00:19:27,Not latest view,AR (Argentina)
Amorcito,2022-03-27 02:14:44,00:00:16,Autoplayed: user action: None; ,Peaky Blinders: Season 5_hook_04_16x9,HOOK,Chrome PC (Cadmium),00:00:16,00:00:16,AR (Argentina)
Amorcito,2022-03-27 02:11:33,00:00:10,Autoplayed: user action: None; ,Temporada 2 (Clip): Bridgerton,HOOK,Chrome PC (Cadmium),00:00:10,00:00:10,AR (Argentina)
Amorcito,2022-03-18 03:14:42,00:01:02,Autoplayed: user action: None; ,Season 4 Teaser : Formula 1: Drive to Survive,TEASER_TRAILER,Chrome PC (Cadmium),00:00:00,00:00:00,AR (Argentina)
Amorcito,2022-03-18 03:14:32,00:00:04,Autoplayed: user action: None; ,My Neighbor Totoro_hook_05_16x9,HOOK,Chrome PC (Cadmium),00:00:04,00:00:04,AR (Argentina)
Amorcito,2022-03-18 03:12:59,00:01:02,Autoplayed: user action: None; ,Season 4 Teaser : Formula 1: Drive to Survive,TEASER_TRAILER,Chrome PC (Cadmium),00:00:00,Not latest view,AR (Argentina)
Amorcito,2022-03-13 05:47:04,00:19:24,,Peaky Blinders: Temporada 1: Episodio 2 (Capítulo 2),,Chrome PC (Cadmium),00:19:26,Not latest view,AR (Argentina)
Amorcito,2022-03-13 05:10:07,00:26:18,,Peaky Blinders: Temporada 1: Episodio 1 (Capítulo 1),,Chrome PC (Cadmium),00:56:38,00:56:38,AR (Argentina)
Amorcito,2022-03-09 02:16:21,00:00:40,Autoplayed: user action: None; ,Peaky Blinders: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:40,00:00:40,AR (Argentina)
Amorcito,2022-03-09 02:16:02,00:00:01,,Peaky Blinders: Temporada 1: Episodio 1 (Capítulo 1),,Chrome PC (Cadmium),00:30:20,Not latest view,AR (Argentina)
Amorcito,2022-03-08 03:39:08,00:30:26,,Peaky Blinders: Temporada 1: Episodio 1 (Capítulo 1),,Chrome PC (Cadmium),00:30:19,Not latest view,AR (Argentina)
Amorcito,2022-03-08 03:38:18,00:00:32,Autoplayed: user action: None; ,Peaky Blinders: Season 5_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:32,00:00:32,AR (Argentina)
Amorcito,2022-03-08 03:36:28,00:00:05,Autoplayed: user action: None; ,Temporada 1 (Tráiler): Glow Up,TRAILER,Chrome PC (Cadmium),00:00:05,Not latest view,AR (Argentina)
Amorcito,2022-03-08 03:36:06,00:00:10,Autoplayed: user action: None; ,Tráiler: El poder del perro,TRAILER,Chrome PC (Cadmium),00:00:10,Not latest view,AR (Argentina)
Amorcito,2022-02-27 02:26:26,00:01:18,Autoplayed: user action: None; ,Temporada 2 (Clip): El amor es ciego,HOOK,Chrome PC (Cadmium),00:00:00,00:00:00,AR (Argentina)
Amorcito,2022-02-27 02:17:07,00:08:44,,Da el sí: Temporada 1: Mi chico y yo (Capítulo 8),,Chrome PC (Cadmium),00:08:44,00:08:44,AR (Argentina)
Amorcito,2022-02-26 04:35:41,00:02:15,,Temporada 1 (Tráiler): Vikingos: Valhalla,TRAILER,Chrome PC (Cadmium),00:02:15,00:02:15,AR (Argentina)
Amorcito,2022-02-26 03:38:01,00:55:36,,Da el sí: Temporada 1: Mi chico y yo (Capítulo 8),,Chrome PC (Cadmium),00:55:42,Not latest view,AR (Argentina)
Amorcito,2022-02-26 03:15:40,00:22:17,,Da el sí: Temporada 1: Una boda para Cenicienta (Capítulo 7),,Chrome PC (Cadmium),00:52:59,00:52:59,AR (Argentina)
Amorcito,2022-02-26 01:36:36,00:00:01,,Da el sí: Temporada 1: Una boda para Cenicienta (Capítulo 7),,Chrome PC (Cadmium),00:30:41,Not latest view,AR (Argentina)
Amorcito,2022-02-25 03:03:57,00:00:02,,Da el sí: Temporada 1: Una boda para Cenicienta (Capítulo 7),,Chrome PC (Cadmium),00:30:40,Not latest view,AR (Argentina)
Amorcito,2022-02-24 02:56:56,00:30:31,Autoplayed: user action: None; ,Da el sí: Temporada 1: Una boda para Cenicienta (Capítulo 7),,Chrome PC (Cadmium),00:30:38,Not latest view,AR (Argentina)
Amorcito,2022-02-24 02:45:59,00:05:20,,Da el sí: Temporada 1: En la salud y en la enfermedad (Capítulo 6),,Chrome PC (Cadmium),00:50:56,00:50:56,AR (Argentina)
Amorcito,2022-02-24 02:44:15,00:01:09,Autoplayed: user action: None; ,Temporada 2 (Clip): Fuerza Espacial,HOOK,Chrome PC (Cadmium),00:00:00,00:00:00,AR (Argentina)
Amorcito,2022-02-23 02:48:18,00:35:08,,Da el sí: Temporada 1: En la salud y en la enfermedad (Capítulo 6),,Chrome PC (Cadmium),00:45:36,Not latest view,AR (Argentina)
Amorcito,2022-02-23 00:55:34,00:00:01,,Da el sí: Temporada 1: En la salud y en la enfermedad (Capítulo 6),,Chrome PC (Cadmium),00:10:47,Not latest view,AR (Argentina)
Amorcito,2022-02-22 03:41:44,00:10:40,,Da el sí: Temporada 1: En la salud y en la enfermedad (Capítulo 6),,Chrome PC (Cadmium),00:10:46,Not latest view,AR (Argentina)
Amorcito,2022-02-22 03:15:41,00:22:47,,Da el sí: Temporada 1: Amor a primera infancia (Capítulo 5),,Chrome PC (Cadmium),00:52:15,00:52:15,AR (Argentina)
Amorcito,2022-02-21 03:44:43,00:29:20,,Da el sí: Temporada 1: Amor a primera infancia (Capítulo 5),,Chrome PC (Cadmium),00:29:28,Not latest view,AR (Argentina)
Amorcito,2022-02-20 03:17:48,00:52:30,,Da el sí: Temporada 1: El amor no tiene edad (Capítulo 4),,Chrome PC (Cadmium),00:52:38,00:52:38,AR (Argentina)
Amorcito,2022-02-20 02:23:12,00:48:46,,Da el sí: Temporada 1: La segunda es la vencida (Capítulo 3),,Chrome PC (Cadmium),00:52:20,00:52:20,AR (Argentina)
Amorcito,2022-02-19 03:38:14,00:03:26,,Da el sí: Temporada 1: La segunda es la vencida (Capítulo 3),,Chrome PC (Cadmium),00:03:34,Not latest view,AR (Argentina)
Amorcito,2022-02-19 02:45:57,00:52:16,,Da el sí: Temporada 1: Familia instantánea (Capítulo 2),,Chrome PC (Cadmium),00:52:24,00:52:24,AR (Argentina)
Amorcito,2022-02-19 01:44:04,00:56:04,,"Da el sí: Temporada 1: Sí, quiero, otra vez (Capítulo 1)",,Chrome PC (Cadmium),00:56:04,00:56:04,AR (Argentina)
Amorcito,2022-02-18 02:23:33,00:00:54,Autoplayed: user action: None; ,Miniserie (Clip 2): Inventando a Anna,HOOK,Chrome PC (Cadmium),00:00:54,00:00:54,AR (Argentina)
